test,year,school,district,county,city,math,reading,writing,english,science,total
ACT,2011,A & M CONS,COLLEGE STATION ISD,BRAZOS,HUNTSVILLE,25.7,24.2,NA,23.3,24.1,24.4
ACT,2011,A C JONES,BEEVILLE ISD,BEE,CORPUS CHRISTI,19.3,18.4,NA,16.7,18.6,18.4
ACT,2011,A J MOORE ACAD,WACO ISD,MCLENNAN,WACO,18.8,18.4,NA,16.1,18.1,18
ACT,2011,A MACEO SMITH HIGH SCHOOL,DALLAS ISD,DALLAS,RICHARDSON,15.6,14.2,NA,12.6,14.8,14.5
ACT,2011,ABBOTT SCHOOL,ABBOTT ISD,HILL,WACO,20.4,19.9,NA,19.4,20.9,20.4
ACT,2011,ABERNATHY,ABERNATHY ISD,HALE,LUBBOCK,22.1,20.5,NA,18.6,21.2,20.9
ACT,2011,ABILENE,ABILENE ISD,TAYLOR,ABILENE,21.4,20.8,NA,19.5,21,20.8
ACT,2011,ACADEMY,ACADEMY ISD,BELL,WACO,23.8,22.6,NA,20.7,23.6,22.7
ACT,2011,ACADEMY HIGH SCHOOL,HAYS CISD,HAYS,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,ACADEMY OF CAREERS AND TECHNOLOGIE,ACADEMY OF CAREERS AND TECHNOLOGIE,BEXAR,SAN ANTONIO,15,14.2,NA,12,14.2,13.8
ACT,2011,ACADEMY OF CREATIVE ED,NORTH EAST ISD,BEXAR,SAN ANTONIO,NA,NA,NA,NA,NA,NA
ACT,2011,ADRIAN SCHOOL,ADRIAN ISD,OLDHAM,AMARILLO,19,18.5,NA,19.5,19,19.3
ACT,2011,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,DALLAS,RICHARDSON,18.5,19.5,NA,18.8,16.5,18.5
ACT,2011,AGUA DULCE,AGUA DULCE ISD,NUECES,CORPUS CHRISTI,20.8,19.1,NA,17.6,19.6,19.4
ACT,2011,AIM CENTER,VIDOR ISD,ORANGE,BEAUMONT,NA,NA,NA,NA,NA,NA
ACT,2011,AKINS,AUSTIN ISD,TRAVIS,AUSTIN,18.6,16.8,NA,15.7,17.3,17.2
ACT,2011,ALAMO HEIGHTS,ALAMO HEIGHTS ISD,BEXAR,SAN ANTONIO,24.7,23.8,NA,24,23.6,24.2
ACT,2011,ALBA-GOLDEN,ALBA-GOLDEN ISD,WOOD,KILGORE,19.7,18.8,NA,17.7,19.9,19.1
ACT,2011,ALBANY JR-SR,ALBANY ISD,SHACKELFORD,ABILENE,23.9,21.8,NA,21.4,22.3,22.5
ACT,2011,ALDINE,ALDINE ISD,HARRIS,HOUSTON,18.6,17.4,NA,16,17.9,17.6
ACT,2011,ALEDO HIGH SCHOOL,ALEDO ISD,PARKER,FORT WORTH,25.6,25,NA,24.7,23.8,24.9
ACT,2011,ALICE,ALICE ISD,JIM WELLS,CORPUS CHRISTI,18.7,18.4,NA,17.3,18.6,18.4
ACT,2011,ALLEN,ALLEN ISD,COLLIN,RICHARDSON,24.9,23.8,NA,23.3,23.8,24.1
ACT,2011,ALLISON STEELE ENHANCED LEARNING C,SCHERTZ-CIBOLO-U CITY ISD,GUADALUPE,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,ALPHA,MAGNOLIA ISD,MONTGOMERY,HUNTSVILLE,NA,NA,NA,NA,NA,NA
ACT,2011,ALPINE,ALPINE ISD,BREWSTER,MIDLAND,19.2,17.8,NA,17.1,19.1,18.5
ACT,2011,ALTER SCH,LIBERTY-EYLAU ISD,BOWIE,MT PLEASANT,NA,NA,NA,NA,NA,NA
ACT,2011,ALTO,ALTO ISD,CHEROKEE,KILGORE,19.6,18.5,NA,16.5,18.3,18.3
ACT,2011,ALVARADO,ALVARADO ISD,JOHNSON,FORT WORTH,19.4,19,NA,17,19.6,18.8
ACT,2011,ALVIN HIGH SCHOOL,ALVIN ISD,BRAZORIA,HOUSTON,22.9,21.8,NA,20.5,21.6,21.8
ACT,2011,ALVORD,ALVORD ISD,WISE,FORT WORTH,23.7,22.2,NA,19.8,22.2,22.1
ACT,2011,AMARILLO,AMARILLO ISD,POTTER,AMARILLO,23.4,22.4,NA,22,22.7,22.8
ACT,2011,AMARILLO AREA CTR FOR ADVANCED LRN,AMARILLO ISD,POTTER,AMARILLO,NA,NA,NA,NA,NA,NA
ACT,2011,AMERICAS,SOCORRO ISD,EL PASO,EL PASO,19.6,19.2,NA,17.6,19.2,19
ACT,2011,AMHERST SCHOOL,AMHERST ISD,LAMB,LUBBOCK,18.8,18.8,NA,18.6,18.6,18.9
ACT,2011,ANAHUAC,ANAHUAC ISD,CHAMBERS,HOUSTON,21,19.8,NA,17.9,19.8,19.7
ACT,2011,ANDERSON,AUSTIN ISD,TRAVIS,AUSTIN,26.6,24.7,NA,23.8,24.4,25
ACT,2011,ANDERSON-SHIRO JR/SR,ANDERSON-SHIRO CISD,GRIMES,HUNTSVILLE,20.9,21.3,NA,19.1,21.5,20.9
ACT,2011,ANDRESS,EL PASO ISD,EL PASO,EL PASO,18,16.8,NA,15.4,17.4,17
ACT,2011,ANDREWS,ANDREWS ISD,ANDREWS,MIDLAND,21.1,21.7,NA,20,20.9,21
ACT,2011,ANDY DEKANEY,SPRING ISD,HARRIS,HOUSTON,17.7,16.8,NA,15,17.1,16.8
ACT,2011,ANGLETON,ANGLETON ISD,BRAZORIA,HOUSTON,22.9,20.8,NA,20.1,20.9,21.3
ACT,2011,ANNA,ANNA ISD,COLLIN,RICHARDSON,22,22.4,NA,20.4,21.3,21.7
ACT,2011,ANSON,ANSON ISD,JONES,ABILENE,21.4,23.1,NA,21.4,22.6,22.2
ACT,2011,ANTHONY,ANTHONY ISD,EL PASO,EL PASO,17.8,18.7,NA,15.8,18.2,17.7
ACT,2011,ANTON,ANTON ISD,HOCKLEY,LUBBOCK,20.1,19.4,NA,18.5,19.8,19.5
ACT,2011,ARANSAS PASS,ARANSAS PASS ISD,SAN PATRICIO COUNT,CORPUS CHRISTI,19,18.8,NA,17.7,19.3,18.8
ACT,2011,ARCHER CITY,ARCHER CITY ISD,ARCHER,WICHITA FALLS,21.6,20,NA,19.8,20,20.5
ACT,2011,ARGYLE,ARGYLE ISD,DENTON,FORT WORTH,25.2,24.7,NA,23.5,24.1,24.6
ACT,2011,ARLINGTON,ARLINGTON ISD,TARRANT,FORT WORTH,22.6,21.7,NA,21.1,21.7,21.9
ACT,2011,ARLINGTON HEIGHTS,FORT WORTH ISD,TARRANT,FORT WORTH,21.7,20.9,NA,20.1,20.9,21.1
ACT,2011,ARP,ARP ISD,SMITH,KILGORE,20.7,21.1,NA,19.6,21.1,20.8
ACT,2011,ASPERMONT,ASPERMONT ISD,STONEWALL,ABILENE,18.9,18.4,NA,17,18.1,18.1
ACT,2011,ASSETS,ALVIN ISD,BRAZORIA,HOUSTON,NA,NA,NA,NA,NA,NA
ACT,2011,ATASCOCITA,HUMBLE ISD,HARRIS,HOUSTON,22.4,21.3,NA,20.3,21.5,21.5
