test,year,school,county,city,math,reading,writing,english,science,total
SAT,2015,Cayuga H S,Anderson County,Kilgore,475,471,452,NA,NA,946
SAT,2015,Elkhart H S,Anderson County,Kilgore,487,456,454,NA,NA,943
SAT,2015,Frankston H S,Anderson County,Kilgore,427,418,395,NA,NA,845
SAT,2015,Neches H S,Anderson County,Kilgore,540,567,513,NA,NA,1107
SAT,2015,Palestine H S,Anderson County,Kilgore,455,440,416,NA,NA,895
SAT,2015,Westwood H S,Anderson County,Kilgore,465,442,426,NA,NA,907
SAT,2015,Slocum H S,Anderson County,Kilgore,503,545,558,NA,NA,1048
SAT,2015,Andrews H S,Andrews County,Midland,491,486,454,NA,NA,977
SAT,2015,Pineywoods Community Academy H S,Angelina County,Kilgore,493,491,449,NA,NA,984
SAT,2015,Hudson H S,Angelina County,Kilgore,514,479,454,NA,NA,994
SAT,2015,Lufkin H S,Angelina County,Kilgore,490,462,449,NA,NA,952
SAT,2015,Huntington H S,Angelina County,Kilgore,483,470,456,NA,NA,953
SAT,2015,Diboll H S,Angelina County,Kilgore,447,433,407,NA,NA,880
SAT,2015,Zavalla H S,Angelina County,Kilgore,473,472,438,NA,NA,945
SAT,2015,Central H S,Angelina County,Kilgore,499,486,461,NA,NA,985
SAT,2015,Rockport-Fulton H S,Aransas County,Corpus Christi,483,463,430,NA,NA,946
SAT,2015,Archer City H S,Archer County,Wichita Falls,504,508,483,NA,NA,1012
SAT,2015,Holliday H S,Archer County,Wichita Falls,534,506,515,NA,NA,1039
SAT,2015,Windthorst H S,Archer County,Wichita Falls,511,489,455,NA,NA,1e3
SAT,2015,Claude H S,Armstrong County,Amarillo,475,470,440,NA,NA,945
SAT,2015,Charlotte H S,Atascosa County,San Antonio,411,412,388,NA,NA,823
SAT,2015,Jourdanton H S,Atascosa County,San Antonio,473,478,472,NA,NA,952
SAT,2015,Lytle H S,Atascosa County,San Antonio,446,448,415,NA,NA,894
SAT,2015,Pleasanton H S,Atascosa County,San Antonio,463,451,427,NA,NA,915
SAT,2015,Poteet H S,Atascosa County,San Antonio,456,441,436,NA,NA,896
SAT,2015,Bellville H S,Austin County,Huntsville,525,497,477,NA,NA,1022
SAT,2015,Sealy H S,Austin County,Huntsville,499,484,453,NA,NA,983
SAT,2015,Brazos H S,Austin County,Huntsville,462,430,407,NA,NA,893
SAT,2015,Muleshoe H S,Bailey County,Lubbock,491,489,463,NA,NA,980
SAT,2015,Medina School,Bandera County,San Antonio,509,535,488,NA,NA,1044
SAT,2015,Bandera H S,Bandera County,San Antonio,527,499,480,NA,NA,1026
SAT,2015,Bastrop H S,Bastrop County,Austin,461,454,437,NA,NA,915
SAT,2015,Cedar Creek H S,Bastrop County,Austin,476,464,436,NA,NA,940
SAT,2015,Elgin H S,Bastrop County,Austin,448,451,432,NA,NA,900
SAT,2015,Smithville H S,Bastrop County,Austin,496,464,452,NA,NA,960
SAT,2015,Seymour H S,Baylor County,Wichita Falls,NA,NA,NA,NA,NA,NA
SAT,2015,A C Jones H S,Bee County,Corpus Christi,458,465,452,NA,NA,923
SAT,2015,Pettus Secondary,Bee County,Corpus Christi,474,429,407,NA,NA,903
SAT,2015,Skidmore-Tynan H S,Bee County,Corpus Christi,478,505,482,NA,NA,983
SAT,2015,Richard Milburn Academy Odessa,Bell County,Waco,460,497,467,NA,NA,957
